Date;Description;Counterparty;Amount;Account;Transaction ID
2025-01-27;Energy January;Vattenfall;-172,40;NL00DEMO0123456789;demo-202501-04
2025-01-28;Rail subscription;Rail Operator;-44,20;NL00DEMO0123456789;demo-202501-05
2025-01-29;Streaming;Netflix;-15,99;NL00DEMO0123456789;demo-202501-06
2025-02-24;Salary February 2025;Employer Ltd;3200,00;NL00DEMO0123456789;demo-202502-01
2025-02-25;Rent March;Landlord;-1180,00;NL00DEMO0123456789;demo-202502-02
2025-02-26;Monthly groceries;Jumbo;-283,21;NL00DEMO0123456789;demo-202502-03
2025-02-27;Internet;KPN;-55,00;NL00DEMO0123456789;demo-202502-04
2025-02-28;Health insurance;Health Insurer;-161,45;NL00DEMO0123456789;demo-202502-05
2025-02-28;Restaurant;Restaurant De Markt;-76,50;NL00DEMO0123456789;demo-202502-06
2025-03-24;Salary March 2025;Employer Ltd;3200,00;NL00DEMO0123456789;demo-202503-01
2025-03-25;Rent April;Landlord;-1180,00;NL00DEMO0123456789;demo-202503-02
2025-03-26;Monthly groceries;Lidl;-244,87;NL00DEMO0123456789;demo-202503-03
2025-03-27;Health insurance;Health Insurer;-161,45;NL00DEMO0123456789;demo-202503-04
2025-03-28;Restaurant;Cafe de Test;-62,50;NL00DEMO0123456789;demo-202503-05
2025-03-29;Overdraft fine;Bank Demo;-35,00;NL00DEMO0123456789;demo-202503-07
2025-04-24;Salary April 2025;Employer Ltd;3200,00;NL00DEMO0123456789;demo-202504-01
2025-04-25;Rent May;Landlord;-1180,00;NL00DEMO0123456789;demo-202504-02
2025-04-26;Monthly groceries;Picnic;-259,70;NL00DEMO0123456789;demo-202504-03
2025-04-27;Energy April;Eneco;-151,10;NL00DEMO0123456789;demo-202504-04
2025-04-28;Public transport trip;Rail Operator;-58,90;NL00DEMO0123456789;demo-202504-05
2025-04-29;Collection cost reminder;Bank Demo;-85,00;NL00DEMO0123456789;demo-202504-06
2025-04-30;Music subscription;Spotify;-10,99;NL00DEMO0123456789;demo-202504-07
2025-05-24;Salary May 2025;Employer Ltd;3200,00;NL00DEMO0123456789;demo-202505-01
2025-05-25;Rent June;Landlord;-1180,00;NL00DEMO0123456789;demo-202505-02
2025-05-26;Monthly groceries;Albert Heijn;-286,40;NL00DEMO0123456789;demo-202505-03
2025-05-27;Phone;Odido;-22,50;NL00DEMO0123456789;demo-202505-04
2025-05-28;Fuel station;Shell;-91,30;NL00DEMO0123456789;demo-202505-05
2025-05-29;Shopping;Hema;-64,95;NL00DEMO0123456789;demo-202505-06
2025-06-20;Holiday allowance;Employer Ltd;1600,00;NL00DEMO0123456789;demo-202506-00
2025-06-24;Salary June 2025;Employer Ltd;3200,00;NL00DEMO0123456789;demo-202506-01
2025-06-25;Rent July;Landlord;-1180,00;NL00DEMO0123456789;demo-202506-02
2025-06-26;Monthly groceries;Jumbo;-301,60;NL00DEMO0123456789;demo-202506-03
2025-06-27;Water;Waternet;-34,20;NL00DEMO0123456789;demo-202506-04
2025-06-28;Streaming;Disney Plus;-10,99;NL00DEMO0123456789;demo-202506-05
2025-06-29;Income tax;Tax Authority;-320,00;NL00DEMO0123456789;demo-202506-06
2025-07-24;Salary July 2025;Employer Ltd;3250,00;NL00DEMO0123456789;demo-202507-01
2025-07-25;Rent August;Landlord;-1195,00;NL00DEMO0123456789;demo-202507-02
2025-07-26;Monthly groceries;Lidl;-274,16;NL00DEMO0123456789;demo-202507-03
2025-07-27;Energy July;Vattenfall;-136,80;NL00DEMO0123456789;demo-202507-04
2025-07-28;Public transport trip;Rail Operator;-71,40;NL00DEMO0123456789;demo-202507-05
2025-07-29;Restaurant;Restaurant De Markt;-93,25;NL00DEMO0123456789;demo-202507-06
2025-08-24;Salary August 2025;Employer Ltd;3250,00;NL00DEMO0123456789;demo-202508-01
2025-08-25;Rent September;Landlord;-1195,00;NL00DEMO0123456789;demo-202508-02
2025-08-26;Monthly groceries;Aldi;-246,75;NL00DEMO0123456789;demo-202508-03
2025-08-27;Internet;KPN;-55,00;NL00DEMO0123456789;demo-202508-04
2025-08-28;Online order;Amazon;-149,99;NL00DEMO0123456789;demo-202508-05
2025-08-29;Taxi;Uber;-38,50;NL00DEMO0123456789;demo-202508-06
2025-09-24;Salary September 2025;Employer Ltd;3250,00;NL00DEMO0123456789;demo-202509-01
2025-09-25;Rent October;Landlord;-1195,00;NL00DEMO0123456789;demo-202509-02
2025-09-26;Monthly groceries;Plus Supermarket;-269,30;NL00DEMO0123456789;demo-202509-03
2025-09-27;Health insurance;Health Insurer;-161,45;NL00DEMO0123456789;demo-202509-04
2025-09-28;Internet;Ziggo;-57,00;NL00DEMO0123456789;demo-202509-05
2025-09-29;Lunch;Cafe de Test;-48,30;NL00DEMO0123456789;demo-202509-06
2025-10-24;Salary October 2025;Employer Ltd;3250,00;NL00DEMO0123456789;demo-202510-01
2025-10-25;Rent November;Landlord;-1195,00;NL00DEMO0123456789;demo-202510-02
2025-10-26;Monthly groceries;Dirk;-252,18;NL00DEMO0123456789;demo-202510-03
2025-10-27;Energy October;Eneco;-142,60;NL00DEMO0123456789;demo-202510-04
2025-10-28;Public transport trip;Rail Operator;-66,80;NL00DEMO0123456789;demo-202510-05
2025-10-29;Games;Steam;-24,99;NL00DEMO0123456789;demo-202510-06
2025-11-24;Salary November 2025;Employer Ltd;3250,00;NL00DEMO0123456789;demo-202511-01
2025-11-25;Rent December;Landlord;-1195,00;NL00DEMO0123456789;demo-202511-02
2025-11-26;Monthly groceries;Picnic;-278,64;NL00DEMO0123456789;demo-202511-03
2025-11-27;Phone;Odido;-22,50;NL00DEMO0123456789;demo-202511-04
2025-11-28;Provisional tax assessment;Tax Authority;-260,00;NL00DEMO0123456789;demo-202511-05
2025-11-29;Restaurant;Restaurant De Markt;-88,40;NL00DEMO0123456789;demo-202511-06
2025-12-20;Year-end bonus;Employer Ltd;650,00;NL00DEMO0123456789;demo-202512-00
2025-12-24;Salary December 2025;Employer Ltd;3300,00;NL00DEMO0123456789;demo-202512-01
2025-12-25;Rent January;Landlord;-1195,00;NL00DEMO0123456789;demo-202512-02
2025-12-26;Holiday groceries;Albert Heijn;-318,55;NL00DEMO0123456789;demo-202512-03
2025-12-27;Energy December;Vattenfall;-154,30;NL00DEMO0123456789;demo-202512-04
2025-12-28;Gifts;Bol com;-232,75;NL00DEMO0123456789;demo-202512-05
2025-12-29;Cinema;Pathe;-31,00;NL00DEMO0123456789;demo-202512-06
